Ticker,MarketCap,BookValue,InvestmentGrowth,OperatingProfitability(%)
EA,50150844085.200005,24.593,-0.07839046199701938,6412393770.585126
ELV,75686251454.31,198.809,0.039396350383697355,4080298175.6359124
EME,36385246600.56,74.509,0.16744307361838723,1804967185.172261
EMR,83524440000.0,36.08,-0.051575283641459115,9789356984.478935
ETR,47052340747.299995,129.318,0.0851984366182453,2132900292.3026958
EOG,66783018087.56,55.693,0.07590578470939645,14818738441.096725
EPAM,7670437509.299999,67.753,0.09146935057147092,803778430.4754033
EQT,37756284731.0,38.061,0.5752462181479384,727574157.2738498
EFX,23774184000.0,38.242,-0.04239413680781759,2725014382.092987
EQIX,91191381226.08,144.116,0.14410716830554368,1364178855.9216187
EQR,23817717534.600002,29.18,-0.004231172857520259,2980644276.9019876
ERIE,12611463126.720001,44.155,0.16855018924223816,1715046993.5454648
ESS,16401777840.0,85.99,0.04578209295739076,614621467.6125132
EL,28239906216.77,11.146,-0.08234534299026618,10236856271.308092
EG,13938936000.0,379.877,0.14052916050932204,432245174.09582573
EVRG,18476987197.440002,44.39,0.04216153744338377,3307051137.6436133
ES,27598913506.2,43.145,0.07160804243741643,
EXC,48884036637.15,28.162,0.08151488161508201,18269299055.46481
EXE,25736617457.82,77.651,0.9403171953255426,-897605954.8492614
EXPE,23809483945.079998,10.482,0.09219224584598892,20635374928.44877
EXPD,20947471515.300003,17.016,0.05098557432464545,6119669722.614011
EXR,32420817845.0,63.617,0.05068657925831273,2202287124.510744
XOM,615483120000.0,62.069,0.2050345852034322,63883742286.80984
FFIV,15734400410.47,62.198,0.12586629191783935,1272441236.0526063
FDS,7236210467.950001,58.208,0.06146227904040404,1285567275.975811
FICO,32035555860.3,-76.09,0.08746166795895416,-1229822578.5254304
FAST,53068843086.2,3.435,0.07554278416347382,48200873362.44541
FRT,9270359745.85,35.807,0.07105223057971037,1283304940.3747869
FDX,91340511559.68001,119.745,0.007125863436275242,5005636978.579481
FIS,25442008035.32,26.703,-0.3854437633019846,6594764633.187283
FITB,48260597942.619995,30.179,-0.007675673660368917,
FSLR,25955693145.079998,84.013,0.16972567257223545,1658951590.8252294
FE,28998810861.0,21.649,0.06719707999261795,10970483625.109703
FISV,33061755493.89,48.3,-0.15088568599405874,12171842650.10352
F,54899910317.49,9.013,0.01389921317269527,-101730833240.8743
FTNT,59491848160.0,1.665,0.34498339968865804,
FTV,18264952000.0,20.592,0.006167291476956918,
FOXA,11443563669.12,25.697,0.05566175131986164,12565669144.258085
FOX,11740691099.5,25.697,0.05566175131986164,12565669144.258085
BEN,14409524606.160002,23.337,-0.002963236766313974,4712688006.170459
FCX,92387778664.40001,13.161,0.060512689614935826,49403540764.37961
GRMN,47872133213.4,46.582,0.11936418479354324,3421909750.547422
IT,10830323696.619999,4.515,-0.052640693472542764,26040110741.97121
GE,359973807910.64,17.809,0.0570813707974663,48739401426.245155
GEHC,38387802874.41,22.774,0.11535555622714497,12127865109.335207
GEV,223801095137.76,41.472,0.2239681460619598,3349247685.185185
GEN,13536585348.900002,3.848,-0.018869119230038624,42099792099.7921
GNRC,13449801086.539999,44.863,0.0031451047962504555,1196402380.5808794
GD,95020369107.78,94.902,0.024498926270579813,5643716676.150133
GIS,23808432454.219997,17.46,0.050880365047235615,18827033218.785797
GM,73682419698.03,67.61,0.0054439324995263815,4302617955.92368
GPC,16423385630.0,32.14,0.07314213009088039,4488911014.312384
GILD,187838894922.2,18.226,-0.050382293762575456,57637441018.32547
GPN,23092569599.79,96.703,-0.0727687851494159,2130720866.984478
GL,11494281461.999998,70.84,0.03652860048584213,2052130152.4562392
GDDY,12249234080.16,0.678,0.08863302885695779,137595870206.48965
GS,276606069984.64,357.459,0.020941840674368935,
HAL,29406322392.95,12.528,-0.02255051393285653,24672733077.90549
HIG,39372411000.0,67.329,0.053881219067465486,6012268116.264909
HAS,14238594353.58,4.025,-0.030668562430246602,18072049689.440994
HCA,119034097059.99998,-26.834,0.02028128308100751,-44588954311.69412
DOC,11808797509.029999,10.791,0.019949739834303454,5042461310.351218
HSIC,9367362892.99,28.347,-0.03357609004066963,2578756129.396409
HSY,32860017506.16,22.859,0.0877026946533634,12805752657.59657
HPE,28396636448.280003,18.727,0.06516797171002779,8778768622.844023
HLT,72446978675.4,-23.382,0.015252390751724973,-11517406552.048584
HOLX,16839363184.150002,23.514,-0.015410659676714723,3340137790.2526155
HD,380534265141.25,12.177,0.2559649810531818,176775888971.01093
HON,154893432135.76,21.886,0.22220235676554245,34999543086.90487
HRL,13747181302.05,14.363,-0.0030971968247368443,6232625496.066282
HST,14028865412.4,9.535,0.06575185820468839,8085998951.232302
HWM,103482630260.3,13.329,0.06274360680673068,15867656988.521269
HPQ,17065332282.57,-0.376,0.04660602871532737,-963829787234.0426
HUBB,28001810621.46,72.256,0.20168815806767235,1672940655.4472985
HUM,22831436498.440002,146.42,-0.012450865823860619,1626143969.4030871
HBAN,36556560961.91,13.785,0.10221808745042354,16039173014.14581
HII,17171422988.16,129.276,0.050078247261345854,472632197.7783966
IBM,240376505574.96002,34.862,0.014300397068936195,
IEX,15529760981.279999,53.988,0.15005455909431903,
IDXX,50758296427.799995,20.14,0.010281831637230917,
ITW,85013236000.0,11.175,0.07174620030530297,37727069351.23042
INCY,20164147721.52,26.038,0.278023783310392,5157039711.191336
IR,37391233468.4,25.797,0.15718186783178592,
PODD,17016211157.22,21.526,0.1929912680627463,1435008826.5353527
INTC,220329450000.0,22.884,0.0760566964399318,-100506904.38734487
IBKR,33132833726.214996,12.042,0.17068872757327427,
ICE,87461741967.12999,50.996,-0.018224459936311214,9802729625.853008
IFF,20843684286.81,55.391,-0.07460132997611207,1530934628.3692296
IP,24749155917.789997,28.112,-0.019818580456558186,
INTU,105897200002.35,69.377,0.150192954064484,7117632644.824654
ISRG,179003395959.85,50.194,0.09152652695377524,5868231262.700721
IVZ,11752680000.0,27.547,-0.06652772881543385,3020655606.781138
INVH,15509420901.7,15.603,-0.02705462217379594,4750631288.854708
IQV,28089152000.0,38.343,0.008170608298039804,
IRM,32627664869.74,-3.317,0.1286471766615742,-42324992463.06903
JBHT,21773136000.0,37.688,-0.03212310733350194,2205542878.369773
